zip,name,median_income,poverty_pop,total_pop
94022,ZCTA5 94022,250001,556,20052
94024,ZCTA5 94024,250001,686,24041
94040,ZCTA5 94040,175147,2121,35667
94041,ZCTA5 94041,169479,1105,15222
94043,ZCTA5 94043,174416,1259,32670
94085,ZCTA5 94085,168250,1859,22996
94086,ZCTA5 94086,171265,2624,49217
94087,ZCTA5 94087,196611,2367,58913
94089,ZCTA5 94089,149270,1300,23447
94301,ZCTA5 94301,217611,680,17259
94303,ZCTA5 94303,144259,3964,47989
94304,ZCTA5 94304,159637,273,4489
94305,ZCTA5 94305,72500,1508,17279
94306,ZCTA5 94306,199800,1872,27785
95002,ZCTA5 95002,107438,78,1920
95008,ZCTA5 95008,139688,3010,48746
95010,ZCTA5 95010,91771,1235,9243
95012,ZCTA5 95012,73058,1631,10528
95013,ZCTA5 95013,,0,53
95014,ZCTA5 95014,222878,3156,61414
95020,ZCTA5 95020,128977,5008,68365
95023,ZCTA5 95023,103238,4561,57367
95030,ZCTA5 95030,242500,789,13373
95032,ZCTA5 95032,185822,982,27678
95033,ZCTA5 95033,176938,263,9853
95035,ZCTA5 95035,166931,4551,79393
95037,ZCTA5 95037,153091,1933,51867
95046,ZCTA5 95046,148000,457,5801
95050,ZCTA5 95050,119356,4549,39905
95051,ZCTA5 95051,177365,3379,60499
95053,ZCTA5 95053,,89,3317
95054,ZCTA5 95054,194316,1932,24444
95070,ZCTA5 95070,237455,995,31688
95110,ZCTA5 95110,129265,2155,20314
95111,ZCTA5 95111,90808,5390,59761
95112,ZCTA5 95112,85080,9683,58775
95113,ZCTA5 95113,133021,407,2161
95116,ZCTA5 95116,81216,5719,50436
95117,ZCTA5 95117,112003,2702,28663
95118,ZCTA5 95118,142563,1810,32827
95119,ZCTA5 95119,151500,560,10461
95120,ZCTA5 95120,245273,910,38003
95121,ZCTA5 95121,128435,3001,36657
95122,ZCTA5 95122,94924,5511,52555
95123,ZCTA5 95123,138557,4134,70952
95124,ZCTA5 95124,178058,2253,51803
95125,ZCTA5 95125,140092,3114,53333
95126,ZCTA5 95126,121520,3653,36996
95127,ZCTA5 95127,118770,5062,62269
95128,ZCTA5 95128,117284,2852,33653
95129,ZCTA5 95129,178818,1577,39797
95130,ZCTA5 95130,169199,478,13376
95131,ZCTA5 95131,164227,2218,31335
95132,ZCTA5 95132,164447,3451,40981
95133,ZCTA5 95133,126080,3334,28749
95134,ZCTA5 95134,182920,1870,30916
95135,ZCTA5 95135,199042,579,21402
95136,ZCTA5 95136,137006,3382,47294
95138,ZCTA5 95138,189359,1074,19420
95139,ZCTA5 95139,187656,342,7232
95140,ZCTA5 95140,152750,6,91
95148,ZCTA5 95148,158565,2982,45688
